PC1,PC2,EmotionLabel,time_offset,subject
4.420005070366424,-11.225842159157734,SADNESS,762,sub-12
-13.225923589869618,-2.6111032045457154,SADNESS,3056,sub-05
-2.218882780183007,15.464753815325164,HAPPINESS,990,sub-14
12.984089405475684,-23.36468606521695,SADNESS,6938,sub-18
0.4984068421669185,-14.205000895069814,SADNESS,1872,sub-06
-19.92221169844449,-5.159057417046919,FEAR,2966,sub-05
23.637587852269068,8.848216199693542,HAPPINESS,3958,sub-20
-14.60314885240672,14.252866609562506,ANGER,3650,sub-16
3.307052007176059,-9.777149853560507,SADNESS,5576,sub-06
20.398538456182514,26.852728547482013,HAPPINESS,654,sub-06
-0.9237873286922728,-0.751443039311253,ANGER,756,sub-12
13.863196750335405,2.699757339210484,ANGER,3676,sub-09
24.235795016931775,21.851208899861497,HAPPINESS,4356,sub-05
